candidate_id,raw_detection_id,confidence,source_detection_count,tile_name,prediction_index,width_m,height_m,box_area_m2,map_x_min,map_y_min,map_x_max,map_y_max,advisor_label,advisor_notes
C3494,R0477,0.113247126340866,1,38SMB_00228_r1200_c4320,4,1005.56396484375,875.9194946289062,880793.0799029768,444669.35302734375,3684800.0,445674.9169921875,3685675.919494629,,
C3495,R3249,0.1131772845983505,1,38SMB_01301_r7200_c9680,5,421.7242240905762,412.1185302734375,173800.36741291406,496975.0950050354,3626565.9036254883,497396.819229126,3626978.0221557617,,
C3496,R3080,0.1131398230791091,1,38SMB_01264_r7200_c960,0,493.2391357421875,526.339111328125,259611.04837879539,411551.1592102051,3625008.700866699,412044.39834594727,3625535.0399780273,,
C3497,R1060,0.1130468845367431,1,38SMB_00478_r2640_c3840,3,640.3631591796875,631.7724609375,404563.8089686632,439735.37658691406,3670827.3446655273,440375.73974609375,3671459.117126465,,
C3498,R4882,0.1130101308226585,2,38SMB_01702_r9600_c5280,4,523.1231689453125,603.5626220703125,315737.5915143639,454072.04650878906,3600867.0489501953,454595.1696777344,3601470.6115722656,,
C3499,R4210,0.1128179803490638,1,38SMB_01524_r8640_c2880,11,475.41748046875,819.3473052978516,389532.0315135643,431524.58251953125,3612780.652694702,432000.0,3613600.0,,
C3500,R4244,0.1127904951572418,1,38SMB_01527_r8640_c3600,7,151.07763290405273,407.61199951171875,61581.05602951837,436000.0,3611637.882385254,436151.07763290405,3612045.4943847656,,
C3501,R1217,0.1127840057015419,1,38SMB_00552_r3120_c1440,3,462.989501953125,557.69287109375,258205.94463050365,417137.0104980469,3666541.9354248047,417600.0,3667099.6282958984,,
C3502,R3633,0.1127715483307838,1,38SMB_01383_r7680_c9360,9,478.88580322265625,492.81158447265625,236000.4714676179,494727.8172302246,3621766.757507324,495206.70303344727,3622259.569091797,,
C3503,R2701,0.1127594336867332,1,38SMB_01150_r6480_c3840,7,1001.8899536132812,1143.66455078125,1145826.0237313807,440598.1100463867,3633575.800476074,441600.0,3634719.4650268555,,
C3504,R1183,0.1127302423119545,1,38SMB_00526_r2880_c5280,3,601.7597961425781,397.2589111328125,239054.4413791038,453207.0845794678,3668001.925354004,453808.84437561035,3668399.1842651367,,
C3505,R4038,0.1126817986369133,1,38SMB_01474_r8400_c960,6,688.1802368164062,681.94580078125,469301.6226775944,409615.79864501953,3612847.060546875,410303.97888183594,3613529.0063476562,,
C3506,R4637,0.1126530095934867,1,38SMB_01645_r9360_c1680,9,1802.2048950195312,1314.4522094726562,2368912.2061808594,417666.85974121094,3603200.0,419469.06463623047,3604514.4522094727,,
C3507,R2611,0.1126465201377868,2,38SMB_01112_r6240_c4800,6,397.4871826171875,550.9149169921875,218981.61821700633,450802.5128173828,3634649.9041748047,451200.0,3635200.819091797,,
C3508,R2973,0.1125793233513832,1,38SMB_01235_r6960_c4080,5,435.9312438964844,413.35693359375,180195.20223475993,441425.0555419922,3627768.3670043945,441860.9867858887,3628181.7239379883,,
C3509,R2563,0.1125771254301071,1,38SMB_01102_r6240_c2400,8,528.5430908203125,898.525390625,474909.38714146614,426671.35986328125,3636311.308898926,427199.90295410156,3637209.834289551,,
