candidate_id,kept_raw_detection_id,suppressed_raw_detection_id,suppressed_tile_name,suppressed_confidence,iou_with_kept_candidate
C0436,R2614,R2745,38SMB_01155_r6480_c5040,0.5135926604270935,0.7585829371555207
C0439,R4203,R4062,38SMB_01482_r8400_c2880,0.5953314900398254,0.9512667110725345
C0440,R2287,R2368,38SMB_01027_r5760_c4560,0.5839260816574097,0.9610384156138955
C0441,R4841,R4979,38SMB_01735_r9680_c3120,0.595463752746582,0.9989252669524562
C0442,R1131,R1126,38SMB_00512_r2880_c1920,0.5593490600585938,0.997358086370117
C0445,R1043,R1034,38SMB_00471_r2640_c2160,0.5910221338272095,0.9857112890084843
C0452,R1848,R1718,38SMB_00731_r4080_c4080,0.5046585202217102,0.9438900956561274
C0453,R1717,R1710,38SMB_00730_r4080_c3840,0.5323180556297302,0.7046052446324724
C0453,R1717,R1851,38SMB_00773_r4320_c4080,0.4944753348827362,0.859691578868699
C0457,R1849,R1840,38SMB_00772_r4320_c3840,0.5629345178604126,0.8206977740543604
C0458,R1466,R1462,38SMB_00648_r3600_c4320,0.5842761993408203,0.9907581477438075
C0463,R1705,R1825,38SMB_00771_r4320_c3600,0.566869854927063,0.8799344863609683
C0464,R4983,R4988,38SMB_01739_r9680_c4080,0.3701513409614563,0.8306632333099793
C0464,R4983,R4855,38SMB_01696_r9600_c3840,0.1892566233873367,0.704352851302234
C0466,R3312,R3521,38SMB_01359_r7680_c3600,0.5720771551132202,0.9897700929454146
C0469,R3019,R3023,38SMB_01245_r6960_c6480,0.5675449371337891,0.904091484311741
C0470,R3520,R3313,38SMB_01317_r7440_c3600,0.5515881180763245,0.990725646118375
C0470,R3520,R3299,38SMB_01316_r7440_c3360,0.485128104686737,0.866054805119213
C0470,R3520,R3501,38SMB_01358_r7680_c3360,0.4824928939342499,0.8637052827252153
C0471,R1644,R1514,38SMB_00681_r3840_c2160,0.5660495758056641,0.7414817462678345
C0475,R3754,R3934,38SMB_01447_r8160_c4560,0.4570434689521789,0.8647457874343186
C0476,R3923,R3933,38SMB_01447_r8160_c4560,0.5699992179870605,0.9662971343915969
C0477,R2270,R2280,38SMB_00984_r5520_c4320,0.5201614499092102,0.8449305174762406
C0479,R4359,R4344,38SMB_01566_r8880_c2880,0.5626357197761536,0.9819548789450646
C0481,R0840,R0978,38SMB_00463_r2640_c240,0.4844001829624176,0.8776833515797967
C0483,R3198,R3188,38SMB_01286_r7200_c6240,0.545716404914856,0.820497386446271
C0484,R1508,R1631,38SMB_00722_r4080_c1920,0.5738978981971741,0.860236750197092
C0486,R1264,R1160,38SMB_00522_r2880_c4320,0.3941711187362671,0.8409153628600375
C0491,R4510,R4670,38SMB_01649_r9360_c2640,0.4234536290168762,0.7951245178039281
C0492,R1455,R1580,38SMB_00689_r3840_c4080,0.5169435143470764,0.9478382004534301
C0492,R1455,R1586,38SMB_00689_r3840_c4080,0.1377773433923721,0.7381672282565404
C0494,R0053,R0156,38SMB_00047_r240_c1200,0.5662358999252319,0.9561299727219399
C0495,R0195,R0103,38SMB_00015_r0_c3600,0.3257567882537842,0.7283214838186182
C0503,R4444,R4451,38SMB_01587_r8880_c7920,0.5553712844848633,0.8316866396294121
C0504,R4440,R4446,38SMB_01586_r8880_c7680,0.4333940148353576,0.7048271625154603
C0505,R2509,R2632,38SMB_01117_r6240_c6000,0.5565778017044067,0.9065014670922695
C0505,R2509,R2513,38SMB_01076_r6000_c6240,0.5396848320960999,0.8538437082538645
C0505,R2509,R2635,38SMB_01118_r6240_c6240,0.5062955617904663,0.7874191764401401
C0511,R0782,R0776,38SMB_00384_r2160_c1440,0.5134162902832031,0.9024749909830562
C0513,R1409,R1414,38SMB_00640_r3600_c2400,0.5528011918067932,0.9134432588190469
C0525,R0503,R0437,38SMB_00216_r1200_c1440,0.5476961135864258,0.7895675533997599
C0525,R0503,R0497,38SMB_00257_r1440_c1200,0.4838289618492126,0.85429666245051
C0525,R0503,R0431,38SMB_00215_r1200_c1200,0.4527358114719391,0.7098361513421021
C0526,R3101,R3096,38SMB_01271_r7200_c2640,0.3058882653713226,0.8315147785215395
C0527,R0668,R0574,38SMB_00301_r1680_c1680,0.5525546669960022,0.9555832879337236
C0529,R0251,R0260,38SMB_00094_r480_c2400,0.3856824934482574,0.7472376138726392
C0530,R0079,R0088,38SMB_00009_r0_c2160,0.5449045300483704,0.8258136561302093
C0532,R4853,R4725,38SMB_01654_r9360_c3840,0.3870542347431183,0.74865198024181
C0534,R4913,R4771,38SMB_01677_r9360_c9360,0.2975876331329345,0.7511843745756273
C0535,R1735,R1740,38SMB_00738_r4080_c5760,0.5400785207748413,0.8148588183196973
C0540,R1975,R1978,38SMB_00827_r4560_c6960,0.5059443712234497,0.9399058745267918
C0544,R2101,R2110,38SMB_00898_r5040_c3840,0.4650940895080566,0.8657267170802758
C0552,R2382,R2379,38SMB_01028_r5760_c4800,0.3841219842433929,0.825231770604743
C0554,R4026,R4018,38SMB_01472_r8400_c480,0.545105516910553,0.9803475187177306
C0556,R0665,R0661,38SMB_00341_r1920_c1200,0.4826352596282959,0.8986702460547774
C0560,R2290,R2294,38SMB_00988_r5520_c5280,0.3936167061328888,0.7416664869851618
C0561,R3789,R3785,38SMB_01414_r7920_c6720,0.498334139585495,0.8470849882969178
C0561,R3789,R3603,38SMB_01373_r7680_c6960,0.3568927347660064,0.8377116031598656
C0561,R3789,R3596,38SMB_01372_r7680_c6720,0.2822031676769256,0.7139271095192176
