polygon_id,area_m2,tile_instances,matched_instances,detected,maximum_matched_confidence,maximum_matched_iou,size_class
1265,125362.98263912526,2,2,True,0.2511870563030243,0.8725544724344773,medium
1269,113984.92607493735,4,4,True,0.4110379219055176,0.7278971275226372,medium
1274,73162.79291219925,4,0,False,,,medium
1275,32989.753457011364,1,0,False,,,medium
1292,465839.734352773,1,0,False,,,large
1296,16356.400760228024,1,0,False,,,small
1319,6223.106125343957,1,0,False,,,small
1320,8022.935720802392,2,0,False,,,small
1322,28043.636759949535,2,0,False,,,medium
1323,7580.567675369154,2,0,False,,,small
1332,67498.79434667743,4,0,False,,,medium
1342,9584.531677513862,2,0,False,,,small
1345,8921.372975173867,2,0,False,,,small
1352,28450.642353062463,2,0,False,,,medium
1353,115771.08098999225,4,1,True,0.1014639660716056,0.5275163144733821,medium
1362,56789.04652840084,4,4,True,0.2720532417297363,0.7221697762700688,medium
1364,151970.8016560637,2,2,True,0.175676554441452,0.7448615818861138,large
1366,81670.14584223341,3,1,True,0.1069424003362655,0.8149539705835467,medium
1369,94912.1351427642,1,1,True,0.1229561269283294,0.8051230077299419,medium
1387,96920.39533021496,1,1,True,0.2427172660827636,0.6334951932261481,medium
1395,5525.424745355193,1,0,False,,,small
1397,21344.772763184064,2,0,False,,,medium
1399,262223.61284752085,2,2,True,0.3072475790977478,0.8592768538045605,large
1402,20211.307622526347,1,0,False,,,medium
1416,6209.016994377382,1,0,False,,,small
1418,49828.768352809166,2,0,False,,,medium
1420,17543.404770272842,1,0,False,,,medium
1426,173312.94844619086,1,0,False,,,large
1430,64850.2775478261,1,0,False,,,medium
1441,17634.573136381066,4,0,False,,,medium
1442,95772.3324467132,1,0,False,,,medium
1451,60078.37323462868,1,1,True,0.3509871959686279,0.6293925680747029,medium
2803,49048.110682811384,1,0,False,,,medium
